Date,Adj Close
6/1/2000,1617.13 
7/3/2000,1678.61 
8/1/2000,1606.61 
9/1/2000,1618.94 
10/2/2000,1538.51 
11/1/2000,1500.60 
12/1/2000,1442.76 
1/2/2001,1492.41 
2/1/2001,1491.30 
3/1/2001,1378.20 
4/2/2001,1282.99 
5/1/2001,1369.47 
6/1/2001,1317.21 
7/2/2001,1261.50 
8/1/2001,1238.01 
9/4/2001,1204.49 
10/1/2001,1080.95 
11/1/2001,1108.34 
12/3/2001,1148.35 
1/2/2002,1154.96 
2/1/2002,1093.11 
3/1/2002,1099.39 
4/1/2002,1155.60 
5/1/2002,1160.74 
6/3/2002,1171.51 
7/1/2002,1123.01 
8/1/2002,1011.34 
9/3/2002,1006.55 
10/1/2002,897.05 
11/1/2002,944.62 
12/2/2002,986.38 
1/2/2003,952.65 
2/3/2003,912.39 
3/3/2003,889.82 
4/1/2003,868.55 
5/1/2003,950.03 
6/2/2003,1003.78 
7/1/2003,1025.74 
8/1/2003,1049.47 
9/2/2003,1072.14 
10/1/2003,1103.39 
11/3/2003,1171.47 
12/1/2003,1195.82 
1/2/2004,1288.77 
2/2/2004,1306.43 
3/1/2004,1334.96 
4/1/2004,1337.07 
5/3/2004,1302.92 
6/1/2004,1302.04 
7/1/2004,1327.98 
8/2/2004,1283.96 
9/1/2004,1286.26 
10/1/2004,1318.03 
11/1/2004,1362.19 
12/1/2004,1452.59 
1/3/2005,1515.48 
2/1/2005,1486.97 
3/1/2005,1548.60 
4/1/2005,1503.85 
5/2/2005,1462.87 
6/1/2005,1457.36 
7/1/2005,1473.72 
8/1/2005,1518.15 
9/1/2005,1552.51 
10/3/2005,1618.84 
11/1/2005,1570.83 
12/1/2005,1606.14 
1/3/2006,1680.13 
2/1/2006,1782.57 
3/1/2006,1776.42 
4/3/2006,1827.65 
5/1/2006,1910.15 
6/1/2006,1826.73 
7/3/2006,1822.88 
8/1/2006,1839.66 
9/1/2006,1885.49 
10/2/2006,1885.26 
11/1/2006,1957.65 
12/1/2006,2012.31 
1/3/2007,2074.48 
2/1/2007,2087.68 
3/1/2007,2102.26 
4/2/2007,2147.51 
5/1/2007,2235.40 
6/1/2007,2263.21 
7/2/2007,2262.24 
8/1/2007,2227.50 
9/4/2007,2187.29 
10/1/2007,2300.38 
11/1/2007,2388.74 
12/3/2007,2306.29 
1/2/2008,2253.36 
2/1/2008,2044.11 
3/3/2008,2070.06 
4/1/2008,2038.62 
5/1/2008,2139.53 
6/2/2008,2145.47 
7/1/2008,1967.19 
8/1/2008,1902.74 
9/2/2008,1821.06 
10/1/2008,1553.15 
11/3/2008,1238.81 
12/1/2008,1168.23 
1/2/2009,1237.42 
2/2/2009,1115.14 
3/2/2009,997.65 
4/1/2009,1056.23 
5/1/2009,1185.84 
6/1/2009,1317.31 
7/1/2009,1307.16 
8/3/2009,1425.40 
9/1/2009,1498.97 
10/1/2009,1552.84 
11/2/2009,1532.74 
12/1/2009,1559.57 
1/4/2010,1580.77 
2/1/2010,1510.61 
3/1/2010,1497.34 
4/1/2010,1584.28 
5/3/2010,1551.03 
6/1/2010,1363.93 
7/1/2010,1348.11 
8/2/2010,1474.91 
9/1/2010,1425.72 
10/1/2010,1561.01 
11/1/2010,1616.41 
12/1/2010,1535.13 
1/3/2011,1658.30 
2/1/2011,1696.38 
3/1/2011,1749.01 
4/1/2011,1702.55 
5/2/2011,1797.52 
6/1/2011,1732.85 
7/1/2011,1708.08 
8/1/2011,1679.84 
9/1/2011,1523.58 
10/3/2011,1373.33 
11/1/2011,1505.00 
12/1/2011,1427.27 
1/3/2012,1412.55 
2/1/2012,1486.74 
3/1/2012,1567.67 
4/2/2012,1553.46 
5/1/2012,1516.21 
6/1/2012,1332.89 
7/2/2012,1423.38 
8/1/2012,1438.57 
9/4/2012,1472.51 
10/1/2012,1510.76 
11/1/2012,1522.23 
12/3/2012,1555.73 
1/2/2013,1604.01 
2/1/2013,1687.33 
3/1/2013,1667.80 
4/1/2013,1674.30 
5/1/2013,1753.61 
6/3/2013,1702.25 
7/1/2013,1638.94 
8/1/2013,1724.75 
9/3/2013,1697.34 
10/1/2013,1818.23 
11/1/2013,1878.39 
12/2/2013,1888.91 
1/2/2014,1915.60 
2/3/2014,1837.64 
3/3/2014,1935.88 
4/1/2014,1915.69 
5/1/2014,1936.67 
6/2/2014,1956.61 
7/1/2014,1972.12 
8/1/2014,1932.66 
